Eksperiment,Scenarij,ROI_mean,ROI_std,Trajanje_mean,Trajanje_std
A1_Osnovni,Random Search (MC),17.139999999999997,3.552713678800501e-15,144.15063955250133,0.91058530902316
A1_Osnovni,GA (samo ROI),17.139999999999997,3.552713678800501e-15,143.10290920971192,1.238683341896869
A1_Osnovni,GA+MC (NSGA-II),17.139999999999997,3.552713678800501e-15,142.0034004389064,0.3723133091235482
A2_Srednji,Random Search (MC),40.108000000000004,0.7029480777411666,341.02364902913064,9.404533811083398
A2_Srednji,GA (samo ROI),46.125,0.4115640897843257,363.632455013185,7.842997296525251
A2_Srednji,GA+MC (NSGA-II),44.099,0.9798004898957741,319.2101177451085,13.170800847828563
A3_Slozeni,Random Search (MC),95.83500000000001,1.4675574946147758,715.6037977645302,10.45050274630781
A3_Slozeni,GA (samo ROI),114.224,0.8908894431970789,792.2997746056687,11.93301569745494
A3_Slozeni,GA+MC (NSGA-II),109.09499999999998,2.0079355069324296,681.5646185336161,21.73291825105717
B1_Restriktivan,Random Search (MC),24.119999999999997,1.845713954002624,197.62142759222115,20.181412771366556
B1_Restriktivan,GA (samo ROI),37.976,0.566554498702464,253.56221692694118,12.386036914542949
B1_Restriktivan,GA+MC (NSGA-II),17.711,17.727575384129665,50104.381770694046,49894.618949197305
B3_Labav,Random Search (MC),71.379,1.1138083318057919,536.9012953502522,16.246663403997562
B3_Labav,GA (samo ROI),79.06500000000001,0.5180781794285481,562.1912200183772,9.344892844889703
B3_Labav,GA+MC (NSGA-II),76.94899999999998,0.48734895095814174,526.6119139385239,10.60178802348562
