gen,nevals,avg,std,min,max
117,193,33.63916000000001,247.24302771260182,-1792.0,112.59
118,198,47.561040000000006,191.69411494492573,-1174.0,112.59
119,194,56.46360000000001,172.02889018487565,-1221.0,112.59
120,201,34.82204000000001,212.7343810356906,-1152.0,112.59
121,187,58.31648000000001,167.1197666741119,-1071.0,112.59
122,200,35.974560000000004,214.17697066493025,-1016.0,112.59
123,202,50.34432000000001,189.387775287999,-1095.0,112.59
124,184,19.53284000000001,238.4586371887888,-997.0,112.59
125,196,25.00464000000001,221.5187690993032,-1149.0,112.59
126,171,69.20152,135.63871964630746,-793.0,112.59
127,194,47.45128,203.89747599213092,-1184.0,112.59
128,178,51.20816000000001,164.44448845921957,-699.0,112.59
129,191,27.77052000000001,230.44036006248908,-1631.0,112.59
130,202,32.21484000000001,220.63897952486636,-1225.0,112.59
131,207,34.32296000000001,202.80799184459767,-1086.0,112.59
132,204,47.27376000000001,185.941514306683,-921.0,112.59
133,163,47.339160000000014,203.01099017662662,-1055.0,112.59
134,179,44.76684,207.57528739234448,-1312.0,112.59
135,201,36.171960000000006,202.66449869811535,-1040.0,112.59
136,188,66.11136,148.8094484599362,-989.0,112.59
137,186,35.63184000000001,188.48606877701704,-763.0,112.59
138,192,33.71508000000001,207.24134231613536,-1187.0,112.59
139,194,45.88012000000001,192.34253527596437,-1253.0,112.59
140,195,33.934200000000004,220.3485378493808,-1332.0,112.59
141,182,9.919280000000006,251.16868267895504,-1382.0,112.59
142,178,48.58664,184.40029271319065,-900.0,112.59
143,217,41.28452,197.9205585136865,-986.0,112.59
144,200,59.33756000000001,168.00647673005466,-1168.0,112.59
145,197,20.46576000000001,229.66953947013175,-1406.0,112.59
146,195,55.766200000000005,193.21573274337675,-965.0,112.59
147,167,37.43468000000001,226.723194990053,-1457.0,112.59
148,177,43.01812000000001,194.91533154491873,-1040.0,112.59
149,183,54.6074,170.59943164747062,-950.0,112.59
150,184,45.44144,193.1980778360033,-991.0,112.59
151,207,42.268080000000005,195.8927910146609,-874.0,112.59
152,179,37.74556000000001,226.8943547801188,-1136.0,112.59
153,190,43.1028,172.75068093457693,-864.0,112.59
154,209,44.171040000000005,187.0921120510386,-1225.0,112.59
155,186,31.487320000000008,237.585490009002,-1493.0,112.59
156,181,51.67192000000001,175.7019709858532,-706.0,112.59
157,181,38.42768000000001,200.35753999342677,-1009.0,112.59
158,188,70.44032000000001,169.8992863054392,-1012.0,112.59
159,196,26.007640000000006,244.45838082673788,-1384.0,112.59
160,187,47.663320000000006,209.7231276492357,-1107.0,112.59
161,191,57.37160000000001,181.087852082463,-1089.0,112.59
162,175,62.97483999999999,155.81381701304414,-1057.0,112.59
163,196,47.398640000000015,182.28432499518547,-1049.0,112.59
164,189,42.63976000000002,197.00929147820008,-1093.0,112.59
165,190,38.23968,197.53333699175337,-1111.0,112.59
166,195,41.203880000000005,192.55936448728116,-1148.0,112.59
167,208,50.84628000000001,181.04749274420124,-972.0,112.59
168,203,46.284360000000014,185.19654033429026,-947.0,112.59
169,202,70.69472,143.39012190008626,-861.0,112.59
170,186,48.60784000000001,172.51671854557864,-788.0,112.59
171,188,52.08372,190.14471275784032,-1226.0,112.59
172,186,27.888040000000007,226.19626072541166,-1611.0,112.59
173,196,54.41912000000001,181.27762097298609,-970.0,112.59
174,174,70.01708000000002,149.97593112454277,-1224.0,112.59
175,199,40.22052000000001,203.47262938520652,-1190.0,112.59
176,205,48.61904,184.43862352088405,-989.0,112.59
177,197,53.4902,164.32019262513052,-833.0,112.59
178,194,23.71332000000001,214.67042851910836,-1132.0,112.59
179,182,54.4438,191.1904018813706,-1418.0,112.59
180,190,68.0176,153.23576331339888,-926.0,112.59
181,182,63.66740000000001,160.22235801048492,-883.0,112.59
182,185,21.328720000000004,240.6996228413364,-1221.0,112.59
183,200,43.27752,206.6393119661639,-1170.0,112.59
184,183,44.67304,199.62495453113675,-1089.0,112.59
185,195,28.313040000000004,219.56083622257955,-1060.0,112.59
186,184,40.84660000000002,180.90320113043882,-962.0,112.59
187,189,52.65308000000001,183.98356746762357,-954.0,112.59
188,202,34.400880000000015,220.0688565118327,-1369.0,112.59
189,190,47.671040000000005,183.18153991851472,-768.0,112.59
190,178,41.277800000000006,200.29977364430542,-990.0,112.59
191,202,47.17240000000001,176.16950392119517,-695.0,112.59
192,183,35.195000000000014,227.7258612143118,-1201.0,112.59
193,195,34.766360000000006,235.46868528946774,-1830.0,112.59
194,204,31.220840000000003,209.8597224788368,-883.0,112.59
195,183,21.632640000000006,238.66312391366705,-1345.0,112.59
196,183,66.56608,141.33290368429286,-603.0,112.59
197,184,65.05704000000001,147.71854567669695,-882.0,112.59
198,192,39.31280000000001,219.4708779190533,-1415.0,112.59
199,194,41.806720000000006,201.81364717888036,-1172.0,112.59
200,205,27.389840000000003,228.68844411376452,-1146.0,112.59
